date,pointIndex,timePoint,declarationPower,declarationPowerUpper,declarationPowerLower,declarationStartStopState,declarationPercent,defaultDeclarationPower,defaultDeclarationPowerUpper,defaultDeclarationPowerLower,defaultDeclarationStartStopState,defaultDeclarationPercent,dayAheadUserMediumLongPower,dayAheadUserStandardPower,dayAheadUserSumPower,dayAheadUserClearingPower,dayAheadUserPrice,dayAheadUserPriceFinal,dayAheadUserSouthPrice,dayAheadUserNorthPrice,dayAheadPublicClearingPower,dayAheadPublicPrice,dayAheadPublicSouthPrice,dayAheadPublicNorthPrice,dayAheadPublicSouthNodePrice,dayAheadPublicNorthNodePrice,realTimeSouthPrice,realTimeNorthPrice,realTimeSouthNodePrice,realTimeNorthNodePrice,realTimeSouthReleaseType,realTimeNorthReleaseType,realTimeClearingPower,realTimeAvgPrice,realTimePointPrice,realTimeAvgPriceCurrent,realTimePointPriceCurrent,realTimeAvgPriceFinal,realTimePointPriceFinal,actualKwh,settleAmount,sourceTargets,sourceFiles
2026-05-12,34,08:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278.9,,,,,,,,realtime_public_clearing|realtime_average_price,067-www-jspec-com-cn-px-spotgoods-province-curclearingresult-querytablexrdonlyjiesuan.json|069-www-jspec-com-cn-px-spotgoods-province-realtimeclearingrelease-queryrealtimemaravepricepublic.json
2026-05-12,35,08:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274.8,,,,,,,,realtime_public_clearing|realtime_average_price,067-www-jspec-com-cn-px-spotgoods-province-curclearingresult-querytablexrdonlyjiesuan.json|069-www-jspec-com-cn-px-spotgoods-province-realtimeclearingrelease-queryrealtimemaravepricepublic.json
2026-05-12,36,09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.6,,,,,,,,realtime_public_clearing|realtime_average_price,067-www-jspec-com-cn-px-spotgoods-province-curclearingresult-querytablexrdonlyjiesuan.json|069-www-jspec-com-cn-px-spotgoods-province-realtimeclearingrelease-queryrealtimemaravepricepublic.json
2026-05-12,37,09:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.4,,,,,,,,realtime_public_clearing|realtime_average_price,067-www-jspec-com-cn-px-spotgoods-province-curclearingresult-querytablexrdonlyjiesuan.json|069-www-jspec-com-cn-px-spotgoods-province-realtimeclearingrelease-queryrealtimemaravepricepublic.json
2026-05-12,38,09:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.5,,,,,,,,realtime_public_clearing|realtime_average_price,067-www-jspec-com-cn-px-spotgoods-province-curclearingresult-querytablexrdonlyjiesuan.json|069-www-jspec-com-cn-px-spotgoods-province-realtimeclearingrelease-queryrealtimemaravepricepublic.json
2026-05-12,39,09:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263.5,,,,,,,,realtime_public_clearing|realtime_average_price,067-www-jspec-com-cn-px-spotgoods-province-curclearingresult-querytablexrdonlyjiesuan.json|069-www-jspec-com-cn-px-spotgoods-province-realtimeclearingrelease-queryrealtimemaravepricepublic.json
2026-05-12,40,10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.7,,,,,,,,realtime_public_clearing|realtime_average_price,067-www-jspec-com-cn-px-spotgoods-province-curclearingresult-querytablexrdonlyjiesuan.json|069-www-jspec-com-cn-px-spotgoods-province-realtimeclearingrelease-queryrealtimemaravepricepublic.json
2026-05-12,41,10:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303.8,,,,,,,,realtime_public_clearing|realtime_average_price,067-www-jspec-com-cn-px-spotgoods-province-curclearingresult-querytablexrdonlyjiesuan.json|069-www-jspec-com-cn-px-spotgoods-province-realtimeclearingrelease-queryrealtimemaravepricepublic.json
2026-05-12,42,10:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290.2,,,,,,,,realtime_public_clearing|realtime_average_price,067-www-jspec-com-cn-px-spotgoods-province-curclearingresult-querytablexrdonlyjiesuan.json|069-www-jspec-com-cn-px-spotgoods-province-realtimeclearingrelease-queryrealtimemaravepricepublic.json
2026-05-12,43,10:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279,,,,,,,,realtime_public_clearing|realtime_average_price,067-www-jspec-com-cn-px-spotgoods-province-curclearingresult-querytablexrdonlyjiesuan.json|069-www-jspec-com-cn-px-spotgoods-province-realtimeclearingrelease-queryrealtimemaravepricepublic.json
2026-05-12,44,11:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.6,,,,,,,,realtime_public_clearing|realtime_average_price,067-www-jspec-com-cn-px-spotgoods-province-curclearingresult-querytablexrdonlyjiesuan.json|069-www-jspec-com-cn-px-spotgoods-province-realtimeclearingrelease-queryrealtimemaravepricepublic.json
2026-05-12,45,11:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289.1,,,,,,,,realtime_public_clearing|realtime_average_price,067-www-jspec-com-cn-px-spotgoods-province-curclearingresult-querytablexrdonlyjiesuan.json|069-www-jspec-com-cn-px-spotgoods-province-realtimeclearingrelease-queryrealtimemaravepricepublic.json
